Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
NGC 3226,,,10:23:27.01,+19:53:54.7,3.13,2.26,12.95,NGC,3226,Galaxy,galaxies,Leo,,,tiny_dso
NGC 3227,,,10:23:30.58,+19:51:54.2,3.98,1.86,11.72,NGC,3227,Galaxy,galaxies,Leo,,,tiny_dso
NGC 3228,,,10:21:22.24,-51:43:21.3,6.6,,6.0,NGC,3228,Open Cluster,clusters,Vela,18.0,18.0,large_dso
NGC 3242,,"Ghost of Jupiter, Jupiter's Ghost Nebula",10:24:46.08,-18:38:32.0,0.42,,7.7,NGC,3242,Planetary Nebula,nebulae,Hydra,20.8,20.8,large_dso
NGC 3247,,,10:24:14.00,-57:45:48.0,5.0,5.0,7.6,NGC,3247,HII Ionized region,nebulae,Carina,,,small_dso
NGC 3293,,,10:35:48.77,-58:13:28.1,5.1,,4.7,NGC,3293,Open Cluster,clusters,Carina,40.0,40.0,large_dso
NGC 3324,,,10:37:16.21,-58:37:10.4,4.8,,6.7,NGC,3324,Star cluster + Nebula,nebulae,Carina,,,small_dso
NGC 3330,,,10:38:45.43,-54:07:50.6,5.1,,7.4,NGC,3330,Open Cluster,clusters,Vela,,,small_dso
NGC 3344,,,10:43:31.15,+24:55:20.0,6.7,6.37,9.98,NGC,3344,Galaxy,galaxies,Leo Minor,,,small_dso
NGC 3372,C 92,"Carina Nebula,eta Car Nebula, Eta Carinae Nebula",10:45:08.53,-59:52:00.1,120.0,120.0,,NGC,3372,HII Ionized region,nebulae,Carina,120.0,120.0,large_dso
NGC 3384,,,10:48:16.89,+12:37:45.4,5.24,2.37,9.96,NGC,3384,Galaxy,galaxies,Leo,,,small_dso
NGC 3432,,,10:52:31.13,+36:37:07.6,7.41,2.08,11.27,NGC,3432,Galaxy,galaxies,Leo Minor,,,tiny_dso
NGC 3496,,,10:59:33.81,-60:20:12.7,6.0,,8.2,NGC,3496,Open Cluster,clusters,Carina,,,small_dso
NGC 3507,,,11:03:25.36,+18:08:07.6,2.92,2.51,,NGC,3507,Galaxy,galaxies,Leo,,,tiny_dso
NGC 3511,,,11:03:23.77,-23:05:12.4,6.04,2.0,11.02,NGC,3511,Galaxy,galaxies,Crater,,,tiny_dso
NGC 3521,,,11:05:48.58,-00:02:09.1,8.32,4.47,9.11,NGC,3521,Galaxy,galaxies,Leo,,,small_dso
NGC 3532,C 91,Wishing Well Cluster,11:05:47.82,-58:46:13.8,12.0,,3.0,NGC,3532,Open Cluster,clusters,Carina,55.0,55.0,large_dso
NGC 3572,,,11:10:19.20,-60:14:54.1,4.08,,6.6,NGC,3572,Open Cluster,clusters,Carina,20.0,20.0,large_dso
NGC 3576,,,11:11:31.67,-61:21:46.8,3.0,3.0,,NGC,3576,HII Ionized region,nebulae,Carina,20.0,20.0,large_dso
NGC 3579,,,11:11:59.60,-61:14:35.6,20.0,15.0,,NGC,3579,Nebula,nebulae,Carina,,,large_dso
NGC 3585,,,11:13:17.09,-26:45:17.4,6.61,3.27,9.69,NGC,3585,Galaxy,galaxies,Hydra,,,small_dso
NGC 3590,,,11:12:58.97,-60:47:20.5,5.1,,8.2,NGC,3590,Open Cluster,clusters,Carina,,,small_dso
NGC 3607,,,11:16:54.64,+18:03:06.3,4.59,4.03,10.0,NGC,3607,Galaxy,galaxies,Leo,,,small_dso
NGC 3621,,,11:18:16.51,-32:48:50.6,9.79,4.03,9.55,NGC,3621,Galaxy,galaxies,Hydra,,,small_dso
NGC 3628,,,11:20:16.97,+13:35:22.9,11.04,3.44,9.45,NGC,3628,Galaxy,galaxies,Leo,,,small_dso
NGC 3631,,,11:21:02.87,+53:10:10.4,3.72,3.08,10.42,NGC,3631,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3672,,,11:25:02.47,-09:47:43.4,2.9,1.69,11.34,NGC,3672,Galaxy,galaxies,Crater,,,tiny_dso
NGC 3675,,,11:26:08.58,+43:35:09.3,5.9,3.27,10.09,NGC,3675,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3680,,,11:25:37.08,-43:15:00.4,5.7,,7.6,NGC,3680,Open Cluster,clusters,Centaurus,,,small_dso
NGC 3718,,,11:32:34.85,+53:04:04.5,4.7,2.34,10.7,NGC,3718,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3726,,,11:33:21.12,+47:01:45.1,5.27,3.54,10.49,NGC,3726,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3766,,Pearl Cluster,11:36:14.39,-61:36:18.6,6.9,,5.3,NGC,3766,Open Cluster,clusters,Centaurus,,,small_dso
NGC 3877,,,11:46:07.70,+47:29:39.6,5.36,1.23,11.0,NGC,3877,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3887,,,11:47:04.57,-16:51:16.6,3.27,2.57,10.93,NGC,3887,Galaxy,galaxies,Crater,,,tiny_dso
NGC 3893,,,11:48:38.19,+48:42:39.0,2.69,1.43,10.63,NGC,3893,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3917,,,11:50:45.43,+51:49:28.8,4.61,1.03,11.81,NGC,3917,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3923,,,11:51:01.69,-28:48:21.7,6.89,4.55,9.6,NGC,3923,Galaxy,galaxies,Hydra,,,small_dso
NGC 3938,,,11:52:49.45,+44:07:14.6,3.55,3.44,10.36,NGC,3938,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3945,,,11:53:13.73,+60:40:32.0,5.55,3.29,10.75,NGC,3945,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3953,,,11:53:48.92,+52:19:36.4,6.14,3.13,10.1,NGC,3953,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 3955,,,11:53:57.15,-23:09:51.0,4.15,1.21,11.84,NGC,3955,Galaxy,galaxies,Crater,,,tiny_dso
NGC 3960,,,11:50:33.21,-55:40:11.4,6.0,,8.3,NGC,3960,Open Cluster,clusters,Centaurus,,,small_dso
NGC 3962,,,11:54:40.10,-13:58:30.1,4.17,3.0,10.65,NGC,3962,Galaxy,galaxies,Crater,,,tiny_dso
NGC 4027,,,11:59:30.17,-19:15:54.8,3.54,2.8,11.17,NGC,4027,Galaxy,galaxies,Corvus,,,tiny_dso
NGC 4038,,Antennae Galaxies,12:01:53.01,-18:52:03.4,5.42,3.78,10.2,NGC,4038,Galaxy,galaxies,Corvus,,,tiny_dso
NGC 4039,,Antennae Galaxies,12:01:53.51,-18:53:10.3,5.36,2.73,,NGC,4039,Galaxy,galaxies,Corvus,,,tiny_dso
NGC 4052,,,12:02:05.19,-63:13:24.5,5.1,,8.8,NGC,4052,Open Cluster,clusters,Crux,,,small_dso
NGC 4103,,,12:06:39.57,-61:15:00.3,7.8,,7.4,NGC,4103,Open Cluster,clusters,Crux,,,small_dso
NGC 4111,,,12:07:03.13,+43:03:56.6,1.78,0.64,10.81,NGC,4111,Galaxy,galaxies,Canes Venatici,,,tiny_dso
NGC 4125,,,12:08:06.02,+65:10:26.9,5.87,4.58,9.71,NGC,4125,Galaxy,galaxies,Draco,,,small_dso
NGC 4214,,,12:15:39.17,+36:19:36.8,6.79,5.28,9.77,NGC,4214,Galaxy,galaxies,Canes Venatici,,,small_dso
NGC 4216,,,12:15:54.44,+13:08:57.8,7.82,1.84,9.93,NGC,4216,Galaxy,galaxies,Virgo,,,small_dso
NGC 4230,,,12:17:09.37,-55:17:10.1,5.4,,9.4,NGC,4230,Open Cluster,clusters,Centaurus,,,small_dso
NGC 4236,C 3,,12:16:42.12,+69:27:45.3,23.5,6.85,9.77,NGC,4236,Galaxy,galaxies,Draco,21.0,7.0,large_dso
NGC 4244,,,12:17:29.66,+37:48:25.6,16.22,7.24,10.18,NGC,4244,Galaxy,galaxies,Canes Venatici,,,tiny_dso
NGC 4274,,,12:19:50.59,+29:36:52.1,3.63,1.7,10.42,NGC,4274,Galaxy,galaxies,Coma Berenices,,,tiny_dso
NGC 4278,,,12:20:06.82,+29:16:50.7,2.89,2.83,10.21,NGC,4278,Galaxy,galaxies,Coma Berenices,,,tiny_dso
NGC 4314,,,12:22:31.82,+29:53:45.2,3.7,3.56,10.57,NGC,4314,Galaxy,galaxies,Coma Berenices,,,tiny_dso
NGC 4337,,,12:24:03.31,-58:07:25.6,6.6,,8.9,NGC,4337,Open Cluster,clusters,Crux,,,small_dso
NGC 4346,,,12:23:27.94,+46:59:37.8,3.13,1.13,,NGC,4346,Galaxy,galaxies,Canes Venatici,,,tiny_dso
NGC 4349,,,12:24:06.04,-61:52:13.6,6.3,,7.4,NGC,4349,Open Cluster,clusters,Crux,,,small_dso
NGC 4361,,,12:24:30.76,-18:47:05.4,1.05,,10.9,NGC,4361,Planetary Nebula,nebulae,Corvus,,,tiny_dso
NGC 4365,,,12:24:28.28,+07:19:03.6,5.12,3.66,9.43,NGC,4365,Galaxy,galaxies,Virgo,,,small_dso
NGC 4372,C 108,,12:25:45.38,-72:39:32.7,12.0,,9.85,NGC,4372,Globular Cluster,clusters,Musca,19.0,19.0,large_dso
NGC 4414,,,12:26:27.10,+31:13:24.7,1.95,1.12,10.2,NGC,4414,Galaxy,galaxies,Coma Berenices,,,tiny_dso
NGC 4435,,Eyes,12:27:40.49,+13:04:44.2,3.03,2.14,10.96,NGC,4435,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 4438,,Eyes,12:27:45.59,+13:00:31.8,9.16,4.02,10.92,NGC,4438,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 4439,,,12:28:26.35,-60:06:11.6,4.5,,8.4,NGC,4439,Open Cluster,clusters,Crux,,,small_dso
NGC 4449,,,12:28:11.10,+44:05:37.1,4.66,2.71,9.64,NGC,4449,Galaxy,galaxies,Canes Venatici,,,small_dso
NGC 4450,,,12:28:29.63,+17:05:05.8,5.46,3.78,10.87,NGC,4450,Galaxy,galaxies,Coma Berenices,,,tiny_dso
NGC 4463,,,12:29:55.22,-64:47:22.8,4.8,,7.2,NGC,4463,Open Cluster,clusters,Musca,,,small_dso
NGC 4485,,,12:30:31.13,+41:42:04.2,2.01,1.34,12.18,NGC,4485,Galaxy,galaxies,Canes Venatici,,,tiny_dso
NGC 4490,,,12:30:36.24,+41:38:38.0,6.71,1.65,9.72,NGC,4490,Galaxy,galaxies,Canes Venatici,,,small_dso
NGC 4494,,,12:31:24.10,+25:46:30.9,4.35,4.13,9.8,NGC,4494,Galaxy,galaxies,Coma Berenices,,,small_dso
NGC 4517,,,12:32:45.59,+00:06:54.1,9.02,1.42,10.48,NGC,4517,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 4526,,,12:34:03.09,+07:41:58.3,6.95,2.47,9.59,NGC,4526,Galaxy,galaxies,Virgo,,,small_dso
NGC 4535,,,12:34:20.31,+08:11:51.9,8.15,7.48,9.89,NGC,4535,Galaxy,galaxies,Virgo,,,small_dso
NGC 4536,,,12:34:27.05,+02:11:17.3,7.08,2.55,10.48,NGC,4536,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 4559,,,12:35:57.65,+27:57:36.0,10.57,4.82,9.92,NGC,4559,Galaxy,galaxies,Coma Berenices,,,small_dso
NGC 4565,,Needle Galaxy,12:36:20.78,+25:59:15.6,16.75,2.89,10.86,NGC,4565,Galaxy,galaxies,Coma Berenices,,,tiny_dso
NGC 4567,,"Butterfly Galaxies,Siamese Twins",12:36:32.71,+11:15:28.8,2.74,2.15,11.32,NGC,4567,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 4568,,"Butterfly Galaxies,Siamese Twins",12:36:34.26,+11:14:20.0,4.31,1.87,10.8,NGC,4568,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 4605,,,12:39:59.38,+61:36:33.1,5.87,2.29,10.26,NGC,4605,Galaxy,galaxies,Ursa Major,,,tiny_dso
NGC 4609,,Coalsack Cluster,12:42:16.83,-62:59:44.7,5.4,,6.9,NGC,4609,Open Cluster,clusters,Crux,,,small_dso
NGC 4618,,,12:41:32.85,+41:09:02.8,3.56,2.29,10.78,NGC,4618,Galaxy,galaxies,Canes Venatici,,,tiny_dso
NGC 4631,,Whale Galaxy,12:42:08.01,+32:32:29.4,14.45,2.2,9.24,NGC,4631,Galaxy,galaxies,Canes Venatici,,,large_dso
NGC 4636,,,12:42:49.83,+02:41:16.0,6.35,4.7,9.99,NGC,4636,Galaxy,galaxies,Virgo,,,small_dso
NGC 4651,,Umbrella Galaxy,12:43:42.63,+16:23:36.2,3.87,2.58,10.82,NGC,4651,Galaxy,galaxies,Coma Berenices,,,tiny_dso
NGC 4656,,,12:43:57.73,+32:10:05.3,8.0,,,NGC,4656,Galaxy Pair,galaxies,Canes Venatici,,,large_dso
NGC 4666,,,12:45:08.59,-00:27:42.8,4.97,1.97,10.75,NGC,4666,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 4697,,,12:48:35.88,-05:48:02.7,7.14,4.16,9.37,NGC,4697,Galaxy,galaxies,Virgo,,,small_dso
NGC 4699,,,12:49:02.23,-08:39:53.5,3.99,3.02,9.53,NGC,4699,Galaxy,galaxies,Virgo,,,small_dso
NGC 4710,,,12:49:38.83,+15:09:55.6,4.39,1.13,10.71,NGC,4710,Galaxy,galaxies,Coma Berenices,,,tiny_dso
NGC 4725,,,12:50:26.58,+25:30:02.9,9.71,7.1,9.38,NGC,4725,Galaxy,galaxies,Coma Berenices,,,small_dso
NGC 4753,,,12:52:22.11,-01:11:58.9,6.49,3.06,9.66,NGC,4753,Galaxy,galaxies,Virgo,,,small_dso
NGC 4782,,,12:54:35.72,-12:34:07.1,1.48,0.87,12.75,NGC,4782,Galaxy,galaxies,Corvus,,,tiny_dso
NGC 4783,,,12:54:36.59,-12:33:28.2,1.41,0.69,12.8,NGC,4783,Galaxy,galaxies,Corvus,,,tiny_dso
NGC 4815,,,12:57:58.37,-64:57:42.3,3.9,,8.6,NGC,4815,Open Cluster,clusters,Musca,,,small_dso
NGC 4833,,,12:59:34.94,-70:52:28.5,8.4,,7.79,NGC,4833,Globular Cluster,clusters,Musca,,,small_dso
NGC 4852,,,13:00:04.39,-59:36:34.0,5.4,,8.9,NGC,4852,Open Cluster,clusters,Centaurus,,,small_dso
NGC 4945,,,13:05:27.48,-49:28:05.6,23.33,4.03,11.86,NGC,4945,Galaxy,galaxies,Centaurus,,,large_dso
NGC 5005,,,13:10:56.23,+37:03:33.1,4.82,1.52,10.71,NGC,5005,Galaxy,galaxies,Canes Venatici,,,tiny_dso
NGC 5045,,,13:16:47.00,-63:25:00.0,20.0,11.0,,NGC,5045,Association of stars,stars,Centaurus,,,large_dso
NGC 5053,,,13:16:26.99,+17:41:51.9,4.8,,9.96,NGC,5053,Globular Cluster,clusters,Coma Berenices,,,small_dso
NGC 5054,,,13:16:58.49,-16:38:05.5,5.04,2.9,10.79,NGC,5054,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 5102,,,13:21:57.61,-36:37:48.9,9.71,3.71,9.88,NGC,5102,Galaxy,galaxies,Centaurus,,,small_dso
NGC 5128,C 77,Centaurus A,13:25:27.62,-43:01:08.8,25.88,19.77,7.22,NGC,5128,Galaxy,galaxies,Centaurus,18.0,14.0,large_dso
NGC 5138,,,13:27:15.21,-59:02:27.4,4.2,,5.33,NGC,5138,Open Cluster,clusters,Centaurus,,,small_dso
NGC 5139,C 80,Omega Centauri,13:26:45.89,-47:28:36.7,27.0,,5.33,NGC,5139,Globular Cluster,clusters,Centaurus,36.0,36.0,large_dso
NGC 5168,,,13:31:05.25,-60:56:21.2,4.2,,9.1,NGC,5168,Open Cluster,clusters,Centaurus,,,small_dso
NGC 5195,,,13:29:59.59,+47:15:58.1,5.5,4.36,9.58,NGC,5195,Galaxy,galaxies,Canes Venatici,,,small_dso
NGC 5248,,,13:37:32.02,+08:53:06.6,4.07,2.38,9.97,NGC,5248,Galaxy,galaxies,Botes,,,small_dso
NGC 5281,,,13:46:35.15,-62:54:59.5,6.9,,5.9,NGC,5281,Open Cluster,clusters,Centaurus,,,small_dso
NGC 5286,,,13:46:26.58,-51:22:24.5,6.6,,8.31,NGC,5286,Globular Cluster,clusters,Centaurus,,,small_dso
NGC 5299,,,13:50:26.26,-59:56:51.8,4.2,,,NGC,5299,Open Cluster,clusters,Centaurus,30.0,30.0,large_dso
NGC 5316,,,13:53:57.22,-61:52:08.8,9.9,,6.0,NGC,5316,Open Cluster,clusters,Centaurus,,,small_dso
NGC 5363,,,13:56:07.21,+05:15:17.2,4.17,2.75,10.21,NGC,5363,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 5364,,,13:56:12.00,+05:00:52.1,3.8,1.66,10.52,NGC,5364,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 5460,,,14:07:27.81,-48:20:33.1,13.2,,5.6,NGC,5460,Open Cluster,clusters,Centaurus,25.0,25.0,large_dso
NGC 5466,,,14:05:27.36,+28:32:04.2,6.6,,9.7,NGC,5466,Globular Cluster,clusters,Botes,,,small_dso
NGC 5606,,,14:27:47.28,-59:37:56.1,3.6,,7.7,NGC,5606,Open Cluster,clusters,Centaurus,,,small_dso
NGC 5617,,,14:29:44.07,-60:42:39.0,5.1,,6.3,NGC,5617,Open Cluster,clusters,Centaurus,,,small_dso
NGC 5662,,,14:35:37.58,-56:37:05.1,8.1,,5.5,NGC,5662,Open Cluster,clusters,Centaurus,,,small_dso
NGC 5676,,,14:32:46.85,+49:27:28.4,3.59,1.61,11.22,NGC,5676,Galaxy,galaxies,Botes,,,tiny_dso
NGC 5689,,,14:35:29.69,+48:44:29.9,3.66,0.91,11.8,NGC,5689,Galaxy,galaxies,Botes,,,tiny_dso
NGC 5715,,,14:43:29.69,-57:34:37.3,3.6,,9.8,NGC,5715,Open Cluster,clusters,Circinus,,,small_dso
NGC 5746,,,14:44:55.92,+01:57:18.0,7.24,1.08,10.55,NGC,5746,Galaxy,galaxies,Virgo,,,tiny_dso
NGC 5749,,,14:48:53.94,-54:29:51.7,7.2,,8.8,NGC,5749,Open Cluster,clusters,Lupus,,,small_dso
NGC 5822,,,15:04:21.25,-54:23:47.1,18.0,,6.5,NGC,5822,Open Cluster,clusters,Lupus,40.0,40.0,large_dso
NGC 5823,,,15:05:30.63,-55:36:13.5,3.9,,7.9,NGC,5823,Open Cluster,clusters,Circinus,,,small_dso
NGC 5824,,,15:03:58.64,-33:04:05.3,5.1,,9.56,NGC,5824,Globular Cluster,clusters,Lupus,,,small_dso
NGC 5846,,,15:06:29.28,+01:36:20.2,4.27,4.05,10.18,NGC,5846,Galaxy,galaxies,Virgo,,,small_dso
NGC 5866,,,15:06:29.50,+55:45:47.6,6.31,2.72,9.89,NGC,5866,Galaxy,galaxies,Draco,,,small_dso
NGC 5897,,,15:17:24.40,-21:00:36.4,9.9,,8.52,NGC,5897,Globular Cluster,clusters,Libra,,,small_dso
NGC 5907,,,15:15:53.77,+56:19:43.6,11.3,1.75,10.37,NGC,5907,Galaxy,galaxies,Draco,,,tiny_dso
NGC 5925,,,15:27:26.82,-54:31:43.6,4.8,,8.4,NGC,5925,Open Cluster,clusters,Norma,,,small_dso
NGC 5927,,,15:28:00.43,-50:40:22.0,6.6,,8.86,NGC,5927,Globular Cluster,clusters,Lupus,,,small_dso
NGC 5986,,,15:46:03.44,-37:47:10.1,5.4,,6.92,NGC,5986,Globular Cluster,clusters,Lupus,,,small_dso
NGC 5999,,,15:52:08.63,-56:28:22.1,3.3,,9.0,NGC,5999,Open Cluster,clusters,Norma,,,small_dso
NGC 6015,,,15:51:25.23,+62:18:36.1,5.81,2.57,11.17,NGC,6015,Galaxy,galaxies,Draco,,,tiny_dso
NGC 6025,,,16:03:17.79,-60:25:52.9,11.4,,5.1,NGC,6025,Open Cluster,clusters,Triangulum Australe,,,small_dso
NGC 6031,,,16:07:35.38,-54:00:53.8,4.8,,8.5,NGC,6031,Open Cluster,clusters,Norma,,,small_dso
NGC 6067,,,16:13:11.05,-54:13:08.2,8.1,,5.6,NGC,6067,Open Cluster,clusters,Norma,,,small_dso
NGC 6087,,S Nor Cluster,16:18:50.58,-57:56:04.5,10.2,,5.4,NGC,6087,Open Cluster,clusters,Norma,,,small_dso
NGC 6124,C 75,,16:25:20.06,-40:39:13.3,13.5,,5.8,NGC,6124,Open Cluster,clusters,Scorpius,29.0,29.0,large_dso
NGC 6134,,,16:27:46.50,-49:09:04.2,6.9,,7.2,NGC,6134,Open Cluster,clusters,Norma,,,small_dso
NGC 6139,,,16:27:40.51,-38:50:59.1,4.5,,9.68,NGC,6139,Globular Cluster,clusters,Scorpius,,,small_dso
NGC 6140,,,16:20:58.16,+65:23:26.0,2.09,1.78,11.66,NGC,6140,Galaxy,galaxies,Draco,,,tiny_dso
NGC 6144,,,16:27:14.14,-26:01:29.0,5.4,,9.63,NGC,6144,Globular Cluster,clusters,Scorpius,,,small_dso
NGC 6152,,,16:32:45.62,-52:38:38.4,6.6,,8.1,NGC,6152,Open Cluster,clusters,Norma,30.0,30.0,large_dso
NGC 6164,,,16:33:41.84,-48:04:48.2,1.41,0.6,6.71,NGC,6164,Nebula,nebulae,Norma,,,small_dso
NGC 6165,,,16:34:03.45,-48:09:01.8,2.5,0.5,6.71,NGC,6165,Nebula,nebulae,Norma,,,small_dso
NGC 6167,,,16:34:34.98,-49:46:18.8,7.2,,6.7,NGC,6167,Open Cluster,clusters,Norma,,,small_dso
NGC 6169,,,16:34:04.63,-44:02:44.3,4.2,,6.6,NGC,6169,Open Cluster,clusters,Norma,,,small_dso
NGC 6178,,,16:35:47.25,-45:38:37.5,6.9,,7.2,NGC,6178,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6188,,Rim Nebula,16:40:05.84,-48:39:44.2,20.0,12.0,,NGC,6188,Nebula,nebulae,Ara,20.0,20.0,large_dso
NGC 6192,,,16:40:23.87,-43:22:00.5,7.5,,8.5,NGC,6192,Open Cluster,clusters,Scorpius,,,small_dso
