Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
NGC 6200,,,16:44:07.35,-47:27:45.6,8.1,,7.4,NGC,6200,Open Cluster,clusters,Ara,,,small_dso
NGC 6204,,,16:46:09.50,-47:01:01.1,4.5,,8.2,NGC,6204,Open Cluster,clusters,Ara,,,small_dso
NGC 6207,,,16:43:03.75,+36:49:56.7,3.46,1.61,11.64,NGC,6207,Galaxy,galaxies,Hercules,,,tiny_dso
NGC 6208,,,16:49:28.19,-53:43:42.0,8.4,,7.2,NGC,6208,Open Cluster,clusters,Ara,,,small_dso
NGC 6229,,,16:46:58.86,+47:31:40.1,4.8,,9.86,NGC,6229,Globular Cluster,clusters,Hercules,,,small_dso
NGC 6231,,,16:54:10.92,-41:49:27.3,13.8,,2.6,NGC,6231,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6235,,,16:53:25.36,-22:10:38.8,4.2,,7.2,NGC,6235,Globular Cluster,clusters,Ophiuchus,,,small_dso
NGC 6242,,,16:55:33.44,-39:27:39.4,6.6,,6.4,NGC,6242,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6249,,,16:57:41.50,-44:48:42.8,7.6,,8.2,NGC,6249,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6250,,,16:57:56.07,-45:56:11.9,9.6,,5.9,NGC,6250,Star cluster + Nebula,nebulae,Ara,,,small_dso
NGC 6259,,,17:00:45.40,-44:39:17.9,6.0,,8.0,NGC,6259,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6268,,,17:02:10.39,-39:43:41.6,6.0,,9.5,NGC,6268,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6281,,,17:04:41.30,-37:59:06.8,10.2,,5.4,NGC,6281,Open Cluster,clusters,Scorpius,60.0,60.0,large_dso
NGC 6284,,,17:04:28.75,-24:45:51.6,6.6,,7.43,NGC,6284,Globular Cluster,clusters,Ophiuchus,,,small_dso
NGC 6293,,,17:10:10.41,-26:34:54.3,4.5,,9.02,NGC,6293,Globular Cluster,clusters,Ophiuchus,,,small_dso
NGC 6302,,"Bug Nebula,Butterfly Nebula",17:13:44.63,-37:06:11.3,0.74,,9.6,NGC,6302,Planetary Nebula,nebulae,Scorpius,,,tiny_dso
NGC 6304,,,17:14:32.51,-29:27:44.2,3.6,,9.03,NGC,6304,Globular Cluster,clusters,Ophiuchus,,,small_dso
NGC 6316,,,17:16:37.41,-28:08:24.1,4.8,,9.03,NGC,6316,Globular Cluster,clusters,Ophiuchus,,,small_dso
NGC 6322,,,17:18:25.79,-42:56:02.5,6.3,,6.0,NGC,6322,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6334,,,17:20:49.70,-36:06:09.8,8.4,,,NGC,6334,Supernova remnant,nebulae,Scorpius,40.0,40.0,large_dso
NGC 6352,,,17:25:29.16,-48:25:21.7,7.2,,8.87,NGC,6352,Globular Cluster,clusters,Ara,,,small_dso
NGC 6356,,,17:23:34.99,-17:48:46.9,5.4,,7.42,NGC,6356,Globular Cluster,clusters,Ophiuchus,,,small_dso
NGC 6357,,the War and Peace Nebula,17:24:43.57,-34:12:04.8,3.9,,,NGC,6357,Star cluster + Nebula,nebulae,Scorpius,50.0,50.0,large_dso
NGC 6362,,,17:31:54.84,-67:02:52.3,8.4,,8.86,NGC,6362,Globular Cluster,clusters,Ara,,,small_dso
NGC 6369,,Little Ghost Nebula,17:29:20.50,-23:45:34.0,0.63,,11.4,NGC,6369,Planetary Nebula,nebulae,Ophiuchus,,,tiny_dso
NGC 6374,,,17:34:42.54,-32:34:52.9,6.9,,5.5,NGC,6374,Open Cluster,clusters,Scorpius,80.0,80.0,large_dso
NGC 6383,,6374,17:34:07,-32:35:00.0,20.0,20.0,5.5,NGC,6383,Open Cluster,clusters,Scorpius,,,large_dso
NGC 6396,,,17:37:36.34,-35:01:33.1,3.3,,8.5,NGC,6396,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6397,C 86,,17:40:41.36,-53:40:25.3,15.3,,5.17,NGC,6397,Globular Cluster,clusters,Ara,26.0,26.0,large_dso
NGC 6400,,,17:40:12.80,-36:56:51.8,6.0,,8.8,NGC,6400,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6404,,,17:39:37.36,-33:14:48.2,4.2,,10.6,NGC,6404,Open Cluster,clusters,Scorpius,,,tiny_dso
NGC 6416,,,17:44:19.99,-32:21:39.6,6.9,,,NGC,6416,Open Cluster,clusters,Scorpius,18.0,18.0,large_dso
NGC 6425,,,17:47:01.68,-31:31:45.8,4.8,,7.2,NGC,6425,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6440,,,17:48:52.67,-20:21:34.5,5.1,,10.1,NGC,6440,Globular Cluster,clusters,Sagittarius,,,tiny_dso
NGC 6441,,,17:50:12.84,-37:03:03.9,4.8,,8.0,NGC,6441,Globular Cluster,clusters,Scorpius,,,small_dso
NGC 6445,,Little Gem,17:49:15.06,-20:00:34.2,0.55,,11.2,NGC,6445,Planetary Nebula,nebulae,Sagittarius,,,tiny_dso
NGC 6451,,,17:50:40.64,-30:12:41.8,7.2,,8.2,NGC,6451,Open Cluster,clusters,Scorpius,,,small_dso
NGC 6469,,,17:53:12.13,-22:16:30.4,9.0,,8.2,NGC,6469,Open Cluster,clusters,Sagittarius,,,small_dso
NGC 6503,,,17:49:26.43,+70:08:39.7,5.94,1.98,10.12,NGC,6503,Galaxy,galaxies,Draco,,,tiny_dso
NGC 6507,,,17:59:50.79,-17:27:01.0,4.8,,9.6,NGC,6507,Open Cluster,clusters,Sagittarius,,,small_dso
NGC 6520,,,18:03:24.14,-27:53:10.0,5.4,,7.6,NGC,6520,Open Cluster,clusters,Sagittarius,,,small_dso
NGC 6522,,,18:03:34.07,-30:02:02.3,3.9,,9.48,NGC,6522,Globular Cluster,clusters,Sagittarius,,,small_dso
NGC 6526,,,18:04:06.15,-24:26:30.8,40.0,40.0,,NGC,6526,Nebula,nebulae,Sagittarius,40.0,40.0,large_dso
NGC 6528,,,18:04:49.61,-30:03:20.8,3.6,,10.65,NGC,6528,Globular Cluster,clusters,Sagittarius,,,tiny_dso
NGC 6530,,,18:04:31.03,-24:21:29.0,6.0,,4.6,NGC,6530,Star cluster + Nebula,nebulae,Sagittarius,,,large_dso
NGC 6535,,,18:03:50.69,-00:17:48.9,3.6,,9.85,NGC,6535,Globular Cluster,clusters,Serpens Cauda,,,small_dso
NGC 6541,,,18:08:02.33,-43:42:57.2,7.5,,7.32,NGC,6541,Globular Cluster,clusters,Corona Australis,,,small_dso
NGC 6543,,Cat's Eye Nebula,17:58:33.39,+66:37:59.5,0.9,,9.01,NGC,6543,Planetary Nebula,nebulae,Draco,,,tiny_dso
NGC 6544,,,18:07:20.00,-24:59:54.1,6.0,,9.9,NGC,6544,Globular Cluster,clusters,Sagittarius,,,small_dso
NGC 6546,,,18:07:22.55,-23:17:46.4,6.9,,8.0,NGC,6546,Open Cluster,clusters,Sagittarius,,,small_dso
NGC 6558,,,18:10:18.38,-31:45:48.5,5.4,,11.29,NGC,6558,Globular Cluster,clusters,Sagittarius,,,tiny_dso
NGC 6559,,,18:09:56.85,-24:06:23.0,15.0,10.0,,NGC,6559,Nebula,nebulae,Sagittarius,,,large_dso
NGC 6563,,,18:12:02.50,-33:52:06.0,0.79,,11.0,NGC,6563,Planetary Nebula,nebulae,Sagittarius,,,tiny_dso
NGC 6568,,,18:12:44.25,-21:37:40.9,7.8,,8.6,NGC,6568,Open Cluster,clusters,Sagittarius,,,small_dso
NGC 6569,,,18:13:38.67,-31:49:39.6,4.5,,9.47,NGC,6569,Globular Cluster,clusters,Sagittarius,,,small_dso
NGC 6583,,,18:15:48.93,-22:08:15.5,3.6,,10.0,NGC,6583,Open Cluster,clusters,Sagittarius,,,small_dso
NGC 6584,,,18:18:37.65,-52:12:54.6,5.1,,8.17,NGC,6584,Globular Cluster,clusters,Telescopium,,,small_dso
NGC 6603,,,18:18:26.97,-18:24:21.8,4.2,,11.1,NGC,6603,Open Cluster,clusters,Sagittarius,,,tiny_dso
NGC 6604,,,18:18:02.96,-12:14:35.2,9.6,,6.5,NGC,6604,Open Cluster,clusters,Serpens Cauda,60.0,60.0,large_dso
NGC 6605,,,18:16:21.68,-15:00:54.7,6.3,,6.0,NGC,6605,Open Cluster,clusters,Serpens Cauda,,,small_dso
NGC 6625,,,18:22:47.30,-11:57:18.0,6.0,,9.0,NGC,6625,Open Cluster,clusters,Scutum,,,small_dso
NGC 6633,,,18:27:15.23,+06:30:29.6,12.0,,4.6,NGC,6633,Open Cluster,clusters,Ophiuchus,27.0,27.0,large_dso
NGC 6638,,,18:30:56.25,-25:29:47.1,4.2,,9.68,NGC,6638,Globular Cluster,clusters,Sagittarius,,,small_dso
NGC 6642,,,18:31:54.22,-23:28:34.1,3.9,,10.24,NGC,6642,Globular Cluster,clusters,Sagittarius,,,tiny_dso
NGC 6643,,,18:19:46.41,+74:34:06.1,3.32,1.63,11.11,NGC,6643,Galaxy,galaxies,Draco,,,tiny_dso
NGC 6645,,,18:32:37.90,-16:53:02.0,5.4,,8.5,NGC,6645,Open Cluster,clusters,Sagittarius,,,large_dso
NGC 6647,,,18:32:49.34,-17:13:43.2,3.6,,8.0,NGC,6647,Open Cluster,clusters,Sagittarius,,,small_dso
NGC 6649,,,18:33:27.96,-10:24:10.1,5.58,,8.9,NGC,6649,Open Cluster,clusters,Scutum,,,small_dso
NGC 6652,,,18:35:45.75,-32:59:25.1,5.1,,9.75,NGC,6652,Globular Cluster,clusters,Sagittarius,,,small_dso
NGC 6664,,,18:36:33.35,-08:13:14.7,6.0,,7.8,NGC,6664,Open Cluster,clusters,Scutum,,,small_dso
NGC 6683,,,18:42:13.97,-06:12:44.1,3.0,,9.4,NGC,6683,Open Cluster,clusters,Scutum,,,small_dso
NGC 6704,,,18:50:45.77,-05:12:19.5,3.3,,9.2,NGC,6704,Open Cluster,clusters,Scutum,,,small_dso
NGC 6709,,,18:51:18.94,+10:19:07.5,8.7,,6.7,NGC,6709,Open Cluster,clusters,Aquila,,,large_dso
NGC 6712,,,18:53:04.89,-08:42:19.7,5.7,,8.69,NGC,6712,Globular Cluster,clusters,Scutum,,,small_dso
NGC 6716,,,18:54:34.37,-19:54:03.9,7.2,,7.5,NGC,6716,Open Cluster,clusters,Sagittarius,,,small_dso
NGC 6717,,,18:55:06.04,-22:42:05.8,3.9,,10.35,NGC,6717,Globular Cluster,clusters,Sagittarius,,,tiny_dso
NGC 6727,,,19:01:42.27,-36:52:34.5,80.0,80.0,,NGC,6727,Reflection Nebula,nebulae,Corona Australis,,,large_dso
NGC 6729,,,19:01:55.40,-36:57:27.5,25.0,20.0,,NGC,6729,Nebula,nebulae,Corona Australis,,,large_dso
NGC 6738,,,19:01:21.56,+11:36:56.2,5.4,,8.3,NGC,6738,Association of stars,stars,Aquila,,,small_dso
NGC 6744,,,19:09:46.10,-63:51:27.1,15.67,9.75,9.25,NGC,6744,Galaxy,galaxies,Pavo,,,large_dso
NGC 6752,C 93,,19:10:51.78,-59:58:54.7,13.2,,6.28,NGC,6752,Globular Cluster,clusters,Pavo,20.0,20.0,large_dso
NGC 6755,,,19:07:49.05,+04:15:59.1,6.0,,7.5,NGC,6755,Open Cluster,clusters,Aquila,,,large_dso
NGC 6756,,,19:08:42.57,+04:42:20.8,3.6,,10.6,NGC,6756,Open Cluster,clusters,Aquila,,,tiny_dso
NGC 6760,,,19:11:12.06,+01:01:49.7,5.4,,9.78,NGC,6760,Globular Cluster,clusters,Aquila,,,small_dso
NGC 6774,,,19:16:16.30,-16:15:38.5,30.0,,,NGC,6774,Open Cluster,clusters,Sagittarius,,,large_dso
NGC 6781,,,19:18:28.26,+06:32:23.0,1.8,,11.4,NGC,6781,Planetary Nebula,nebulae,Aquila,,,tiny_dso
NGC 6791,,,19:20:53.22,+37:46:18.8,6.3,,9.5,NGC,6791,Open Cluster,clusters,Lyra,,,small_dso
NGC 6802,,,19:30:35.04,+20:15:39.5,4.5,,8.8,NGC,6802,Open Cluster,clusters,Vulpecula,,,small_dso
NGC 6804,,,19:31:35.39,+09:13:30.6,0.58,,12.0,NGC,6804,Planetary Nebula,nebulae,Aquila,,,tiny_dso
NGC 6811,,,19:37:17.91,+46:23:19.8,7.2,,6.8,NGC,6811,Open Cluster,clusters,Cygnus,,,large_dso
NGC 6818,,Little Gem Nebula,19:43:57.73,-14:09:11.4,0.77,,9.3,NGC,6818,Planetary Nebula,nebulae,Sagittarius,,,tiny_dso
NGC 6819,,Foxhead Cluster,19:41:18.09,+40:11:12.3,6.9,,7.3,NGC,6819,Open Cluster,clusters,Cygnus,,,small_dso
NGC 6820,,,19:42:28.02,+23:05:17.1,0.5,0.5,,NGC,6820,Nebula,nebulae,Vulpecula,40.0,40.0,large_dso
NGC 6822,,Barnard's Galaxy,19:44:57.74,-14:48:12.4,17.38,16.75,10.05,NGC,6822,Galaxy,galaxies,Sagittarius,,,tiny_dso
NGC 6823,,,19:43:09.89,+23:17:59.8,6.0,,7.1,NGC,6823,Star cluster + Nebula,nebulae,Vulpecula,,,small_dso
NGC 6830,,,19:50:59.58,+23:06:00.5,4.2,,7.9,NGC,6830,Open Cluster,clusters,Vulpecula,,,small_dso
NGC 6834,,,19:52:12.56,+29:24:29.4,4.5,,7.8,NGC,6834,Open Cluster,clusters,Cygnus,,,small_dso
NGC 6866,,,20:03:55.18,+44:09:32.8,5.1,,7.6,NGC,6866,Open Cluster,clusters,Cygnus,,,large_dso
NGC 6871,,,20:05:59.44,+35:46:38.1,9.3,,5.2,NGC,6871,Open Cluster,clusters,Cygnus,20.0,20.0,large_dso
NGC 6883,,,20:11:19.75,+35:49:55.9,4.5,,8.0,NGC,6883,Open Cluster,clusters,Cygnus,,,small_dso
NGC 6885,,OCL  152/20 Vulpeculae Cluster       ,20:12:00,+26:29:00.0,20.0,20.0,8.1,NGC,6885,Open Cluster,clusters,Vulpecula,,,large_dso
NGC 6888,C 27,Crescent Nebula,20:12:06.55,+38:21:17.8,20.0,10.0,,NGC,6888,HII Ionized region,nebulae,Cygnus,20.0,10.0,large_dso
NGC 6905,,Blue Flash Nebula,20:22:22.99,+20:06:16.3,0.67,,11.1,NGC,6905,Planetary Nebula,nebulae,Delphinus,,,tiny_dso
NGC 6910,,,20:23:12.05,+40:46:43.0,6.3,,7.4,NGC,6910,Open Cluster,clusters,Cygnus,,,small_dso
NGC 6934,,,20:34:11.49,+07:24:14.8,5.4,,9.75,NGC,6934,Globular Cluster,clusters,Delphinus,,,small_dso
NGC 6939,,,20:31:30.13,+60:39:43.5,12.0,,7.8,NGC,6939,Open Cluster,clusters,Cepheus,,,small_dso
NGC 6940,,,20:34:26.69,+28:16:57.8,10.8,,6.3,NGC,6940,Open Cluster,clusters,Vulpecula,31.0,31.0,large_dso
NGC 6946,,Fireworks Galaxy,20:34:52.32,+60:09:14.1,11.4,10.84,9.05,NGC,6946,Galaxy,galaxies,Cygnus,,,small_dso
NGC 6960,C 34,"Veil Nebula,Filamentary Nebula,Western Veil, West Veil Nebula",20:45:58.18,+30:35:42.5,210.0,160.0,,NGC,6960,Supernova remnant,nebulae,Cygnus,70.0,6.0,large_dso
NGC 6991,,,20:54:52.00,+47:27:42.0,23.0,,,NGC,6991,Open Cluster,clusters,Cygnus,,,large_dso
NGC 6992,C 33,"East Veil Nebula, Eastern Veil,Network Nebula",20:56:19.07,+31:44:33.9,60.0,8.0,,NGC,6992,Supernova remnant,nebulae,Cygnus,60.0,8.0,large_dso
NGC 6997,,,20:56:39.45,+44:37:53.4,6.9,,10.0,NGC,6997,Star cluster + Nebula,nebulae,Cygnus,,,small_dso
NGC 7000,C 20,North America Nebula,20:59:17.14,+44:31:43.6,120.0,30.0,,NGC,7000,HII Ionized region,nebulae,Cygnus,120.0,100.0,large_dso
NGC 7006,,,21:01:29.25,+16:11:15.1,4.2,,10.46,NGC,7006,Globular Cluster,clusters,Delphinus,,,tiny_dso
NGC 7008,,,21:00:32.80,+54:32:35.5,1.43,,10.7,NGC,7008,Planetary Nebula,nebulae,Cygnus,,,tiny_dso
NGC 7009,,Saturn Nebula,21:04:10.79,-11:21:47.7,0.7,0.52,8.0,NGC,7009,Planetary Nebula,nebulae,Aquarius,,,tiny_dso
NGC 7023,C 4,Iris Nebula,21:01:35.62,+68:10:10.4,10.0,8.0,,NGC,7023,Nebula,nebulae,Cepheus,18.0,18.0,large_dso
NGC 7031,,,21:07:12.55,+50:52:32.0,3.9,,9.1,NGC,7031,Open Cluster,clusters,Cygnus,,,small_dso
NGC 7039,,,21:10:47.80,+45:37:18.5,7.8,,7.6,NGC,7039,Open Cluster,clusters,Cygnus,25.0,25.0,large_dso
NGC 7044,,,21:13:09.41,+42:29:46.3,6.0,,12.0,NGC,7044,Open Cluster,clusters,Cygnus,,,tiny_dso
NGC 7062,,,21:23:27.48,+46:22:42.7,3.6,,8.3,NGC,7062,Open Cluster,clusters,Cygnus,,,small_dso
NGC 7063,,,21:24:21.70,+36:29:15.0,6.3,,7.0,NGC,7063,Open Cluster,clusters,Cygnus,,,small_dso
NGC 7067,,,21:24:23.12,+48:00:33.3,2.4,,9.7,NGC,7067,Open Cluster,clusters,Cygnus,,,small_dso
NGC 7082,,,21:29:17.74,+47:07:34.6,9.0,,7.2,NGC,7082,Open Cluster,clusters,Cygnus,25.0,25.0,large_dso
NGC 7086,,,21:30:27.55,+51:36:01.9,4.8,,8.4,NGC,7086,Open Cluster,clusters,Cygnus,,,small_dso
NGC 7128,,,21:43:57.81,+53:42:54.5,3.0,,9.7,NGC,7128,Open Cluster,clusters,Cygnus,,,small_dso
NGC 7142,,,21:45:09.51,+65:46:28.0,9.6,,9.3,NGC,7142,Open Cluster,clusters,Cepheus,,,small_dso
NGC 7160,,,21:53:40.27,+62:36:11.9,4.2,,6.1,NGC,7160,Open Cluster,clusters,Cepheus,,,small_dso
NGC 7176,,,22:02:08.44,-31:59:23.1,1.15,0.92,,NGC,7176,Galaxy,galaxies,Piscis Austrinus,,,tiny_dso
NGC 7209,,,22:05:07.84,+46:29:00.7,6.0,,7.7,NGC,7209,Open Cluster,clusters,Lacerta,25.0,25.0,large_dso
NGC 7226,,,22:10:26.89,+55:23:54.9,3.0,,9.6,NGC,7226,Open Cluster,clusters,Cepheus,,,small_dso
NGC 7234,,,22:12:25.02,+57:16:16.8,2.4,,7.7,NGC,7234,Open Cluster,clusters,Cepheus,,,small_dso
NGC 7243,C 16,,22:15:08.58,+49:53:51.0,15.0,,6.4,NGC,7243,Open Cluster,clusters,Lacerta,21.0,21.0,large_dso
NGC 7245,,,22:15:11.51,+54:20:33.2,3.9,,9.2,NGC,7245,Open Cluster,clusters,Lacerta,,,small_dso
NGC 7261,,,22:20:06.39,+58:03:06.6,6.9,,8.4,NGC,7261,Open Cluster,clusters,Cepheus,,,small_dso
NGC 7293,,Helix Nebula,22:29:38.57,-20:50:14.4,16.33,,7.3,NGC,7293,Planetary Nebula,nebulae,Aquarius,,,large_dso
NGC 7295,,,22:28:02.84,+52:17:20.7,2.7,,9.7,NGC,7295,Open Cluster,clusters,Lacerta,,,small_dso
NGC 7314,,,22:35:46.19,-26:03:01.7,4.21,1.71,11.22,NGC,7314,Galaxy,galaxies,Piscis Austrinus,,,tiny_dso
NGC 7331,,,22:37:04.01,+34:24:55.9,9.27,3.76,9.41,NGC,7331,Galaxy,galaxies,Pegasus,,,small_dso
NGC 7380,,,22:47:21.01,+58:07:56.7,25.0,20.0,7.2,NGC,7380,Star cluster + Nebula,nebulae,Cepheus,25.0,25.0,large_dso
NGC 7479,,,23:04:56.65,+12:19:22.4,3.65,2.72,11.09,NGC,7479,Galaxy,galaxies,Pegasus,,,tiny_dso
NGC 7510,,,23:11:03.78,+60:34:15.2,3.9,,7.9,NGC,7510,Open Cluster,clusters,Cepheus,,,small_dso
NGC 7541,,,23:14:43.89,+04:32:03.7,3.03,1.0,11.76,NGC,7541,Galaxy,galaxies,Pisces,,,tiny_dso
NGC 7606,,,23:19:04.78,-08:29:06.3,5.26,4.47,11.0,NGC,7606,Galaxy,galaxies,Aquarius,,,tiny_dso
NGC 7635,,Bubble Nebula,23:20:45.60,+61:12:44.5,15.0,8.0,,NGC,7635,HII Ionized region,nebulae,Cassiopeia,,,large_dso
NGC 7686,,,23:30:07.38,+49:08:02.8,3.6,,5.6,NGC,7686,Open Cluster,clusters,Andromeda,,,small_dso
NGC 7762,,,23:50:01.75,+68:02:16.7,6.5,,,NGC,7762,Open Cluster,clusters,Cepheus,,,large_dso
NGC 7788,,,23:56:45.58,+61:23:59.7,2.4,,9.4,NGC,7788,Open Cluster,clusters,Cassiopeia,,,small_dso
NGC 7789,,,23:57:24.06,+56:42:29.8,14.4,,6.7,NGC,7789,Open Cluster,clusters,Cassiopeia,,,large_dso
NGC 7790,,,23:58:24.26,+61:12:29.9,3.6,,8.5,NGC,7790,Open Cluster,clusters,Cassiopeia,,,small_dso
NGC 7793,,,23:57:49.83,-32:35:27.7,10.42,6.05,9.29,NGC,7793,Galaxy,galaxies,Sculptor,,,small_dso
NGC 7814,,,00:03:14.89,+16:08:43.5,4.37,1.88,10.6,NGC,7814,Galaxy,galaxies,Pegasus,,,tiny_dso
NGC 7822,,,00:03:35.35,+67:09:41.9,20.0,4.0,,NGC,7822,HII Ionized region,nebulae,Cepheus,60.0,60.0,large_dso
UGC 5470,,Leo I,10:08:28.10,+12:18:23.0,11.75,8.51,10.36,UGC,5470,Galaxy,galaxies,Leo,,,tiny_dso
