CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
PUP,OC,NGC2421,OCL  626          ,07 36.2,-20 37,8.3,8.0,8.0,NGC,,,,,
PUP,OC,NGC2422,M47,07 36.6,-14 29,4.4,25.0,25.0,NGC,,,,,
PUP,OC,Melotte71,Collinder 155            ,07 37.5,-12 03,7.1,8.0,8.0,Melotte,71,Melotte 71,,,71
PUP,OC,NGC2425,OCL  599          ,07 38.3,-14 53,?,3.3,3.3,NGC,,,,,
PUP,OC,NGC2439,OCL  688          ,07 40.8,-31 42,6.9,9.0,9.0,NGC,,,,,
PUP,OC,NGC2437,M46,07 41.8,-14 49,6.1,20.0,20.0,NGC,,,,,
PUP,PN,NGC2438,PK231+4.2   (in M46)     ,07 41.8,-14 44,11,1.08,1.08,NGC,,,,,
PUP,PN,NGC2440,"ALBINO BUTTERFLY NEBULA,BURNING EMBER,BAT NEB.",07 41.9,-18 13,11.5,0.9,0.33,NGC,,,,,
PUP,OC,NGC2447,M93,07 44.5,-23 51,6.2,10.0,10.0,NGC,,,,,
PUP,OC,NGC2451,STINGING SCORPION CLUSTER,07 45.4,-37 57,2.8,50.0,50.0,NGC,,,,,
PUP,PN,NGC2452,PK243-1.1   (in same field as 2453)     ,07 47.4,-27 20,11.9,0.5,0.4,NGC,,,,,
PUP,OC,NGC2453,OCL  670          ,07 47.6,-27 12,8.3,4.0,4.0,NGC,,,,,
PUP,OC,NGC2477,TERMITE HOLE CLUSTER      ,07 52.2,-38 32,5.8,20.0,20.0,NGC,,,,,
PUP,BN+OC,NGC2467,"OC HAFFNER 18 & 19 WITHIN THE NEB.,CHAINED BROOCH NEB.,SKULL & CROSSBONES NEB.",07 52.5,-26 24,8,16.0,12.0,NGC,,,,,
PUP,OC,NGC2479,OCL  623          ,07 55.1,-17 42,9.6,11.0,11.0,NGC,,,,,
PUP,OC,NGC2489,OCL  690          ,07 56.3,-30 04,7.9,5.0,5.0,NGC,,,,,
PUP,OC,NGC2509,OCL  630          ,08 00.8,-19 03,9.3,12.0,12.0,NGC,,,,,
PUP,OC,NGC2533,OCL  695          ,08 07.0,-29 52,7.6,6.0,6.0,NGC,,,,,
PUP,OC,NGC2539,THE DISH CLUSTER,08 10.6,-12 49,6.5,15.0,15.0,NGC,,,,,
PUP,OC,NGC2546,HEART&DAGGER CLUSTER,08 12.4,-37 37,6.3,70.0,70.0,NGC,,,,,
PUP,OC,NGC2567,OCL  708          ,08 18.5,-30 39,7.4,11.0,11.0,NGC,,,,,
PUP,OC,NGC2588,OCL  715          ,08 23.2,-32 59,11.8,2.0,2.0,NGC,,,,,
SCL,GAL,NGC55,Dunlop 507        ,00 15.1,-39 11,7.9,31.2,5.9,NGC,,,,,
SCL,GAL,NGC134,GIANT SQUID GALAXY,00 30.4,-33 15,10,8.5,1.9,NGC,,,,,
SCL,GAL,NGC253,ESO 474-29/Sculptor Galaxy/SILVER COIN GAL.  ,00 47.6,-25 18,7.2,26.4,6.0,NGC,,,,,
SCL,GC,NGC288,ESO 474-SC37      ,00 52.8,-26 35,8.1,13.0,13.0,NGC,,,,,
SCL,GAL,NGC300,ESO 295-20        ,00 54.9,-37 41,8.1,19.3,13.3,NGC,,,,,
SCL,GAL,NGC7793,BOND'S GALAXY,23 57.8,-32 36,9.1,9.6,6.4,NGC,,,,,
SCO,GC,NGC6093,M80            ,16 17.0,-22 59,7.3,5.1,5.1,NGC,,,,,
SCO,GC,NGC6121,M4 CRAB OR SPIDER GLOBULAR,16 23.6,-26 32,5.4,36.0,36.0,NGC,,,,,
SCO,GC,NGC6144,GCL  42           ,16 27.2,-26 01,9,7.4,7.4,NGC,,,,,
SCO,OC,NGC6242,OCL 1001          ,16 55.5,-39 28,6.4,9.0,9.0,NGC,,,,,
SCO,OC,NGC6281,MOTH WING CLUSTER,17 04.8,-37 53,5.4,8.0,8.0,NGC,,,,,
SCO,PN,NGC6302,BUG NEBULA/BUTTERFLY NEB.,17 13.7,-37 06,9.6,1.2,0.5,NGC,,,,,
SCO,OC,NGC6383,6374,17 34.7,-32 35,5.5,20.0,20.0,NGC,,,,,
SCO,OC,NGC6404,OCL 1024          ,17 39.6,-33 14,10.6,6.0,6.0,NGC,,,,,
SCO,OC,NGC6400,PHANTOM CLUSTER,17 40.2,-36 58,8.8,12.0,12.0,NGC,,,,,
SCO,OC,NGC6405,M6 BUTTERFLY CLUSTER,17 40.3,-32 15,4.2,33.0,33.0,NGC,,,,,
SCO,OC,NGC6444,Ruprecht132            ,17 49.6,-34 49,?,12.0,12.0,NGC,,,,,
SCO,GC,NGC6441,SILVER NUGGET CLUSTER,17 50.2,-37 03,7.2,9.6,9.6,NGC,,,,,
SCO,OC,NGC6451,OCL 1035/Tom Thumb Cluster      ,17 50.7,-30 13,8.2,8.0,8.0,NGC,,,,,
SCT,OC,NGC6649,OCL   66          ,18 33.5,-10 24,8.9,6.0,6.0,NGC,,,,,
SCT,OC,NGC6664,SANTA'S SLEIGH CLUSTER,18 36.5,-08 11,7.8,12.0,12.0,NGC,,,,,
SCT,OC,NGC6694,M26,18 45.2,-09 23,8,10.0,10.0,NGC,,,,,
SCT,OC,NGC6705,M11 WILD DUCK CLUSTER,18 51.1,-06 16,5.8,11.0,11.0,NGC,,,,,
SCT,GC,NGC6712,GCL 103           ,18 53.1,-08 42,8.1,9.8,9.8,NGC,,,,,
SER,GC,NGC5904,M5 ROSE CLUSTER,15 18.6,+02 05,5.8,19.9,19.9,NGC,,,,,
SER,GC,NGC6539,GCL  85           ,18 04.8,-07 35,8.9,7.9,7.9,NGC,,,,,
SER,OC,Trumpler32,Harvard 19        ,18 17.2,-13 21,12.2,12.0,12.0,Trumpler,32,Trumpler 32,,,32
SER,OC,NGC6611,M16 EAGLE NEBULA--the cluster,18 18.8,-13 47,6,8.0,8.0,NGC,,,,,
SER,BN+OC,IC4703(BN),M16 EAGLE NEBULA--the nebula/Star Queen Nebula,18 18.8,-13 50,?,28.0,17.0,IC,4703,IC 4703,IC 4703,,4703
SER,OC,IC4756,TWEEDLEDEE CLUSTER,18 38.9,+05 26,4.6,40.0,40.0,IC,4756,IC 4756,IC 4756,,4756
SEX,GAL,NGC3115,MCG - 1-26- 18 SPINDLE GAL.   ,10 05.2,-07 43,8.9,7.3,3.4,NGC,,,,,
SGE,OC,Harvard20,                  ,19 53.2,+18 21,7.7,8.0,8.0,Harvard,20,Harvard 20,,,20
SGE,GC,NGC6838,M71 ANGELFISH CLUSTER (ARROWHEAD),19 53.8,+18 47,8.4,6.1,6.1,NGC,,,,,
SGR,GC,NGC6440,GCL  77           ,17 48.9,-20 22,9.3,4.4,4.4,NGC,,,,,
SGR,PN,NGC6445,BOX NEBULA (in same field as 6440)/COFFIN NEB.,17 49.3,-20 01,13,0.58,0.5,NGC,,,,,
SGR,OC,NGC6494,M23,17 56.9,-19 01,5.5,25.0,25.0,NGC,,,,,
SGR,OC,NGC6507,OCL   32          ,17 59.8,-17 27,9.6,8.0,8.0,NGC,,,,,
SGR,N+CL,NGC6514,M20 TRIFID NEBULA,18 02.5,-23 01,6.3,30.0,30.0,NGC,,,,,
SGR,DN,B86,"Forms a pairing with NGC6520 open cluster, INKSPOT NEB.",18 03.0,-27 52,,6.0,4.0,B,86,B 86,,,86
SGR,OC,NGC6520,"DEAD MAN'S CHEST CLUSTER, NEXT TO B86",18 03.4,-27 53,7.6,5.0,5.0,NGC,,,,,
SGR,GC,NGC6522,GCL  82           ,18 03.6,-30 02,9.9,9.4,9.4,NGC,,,,,
SGR,OC,NGC6531,M21,18 04.2,-22 30,5.9,16.0,16.0,NGC,,,,,
SGR,BN,NGC6523,M8 LAGOON NEBULA (Cluster = 6530),18 04.4,-24 23,4.6,15.0,30.0,NGC,,,,,
SGR,OC,NGC6530,OCL   19   in Lagoon Nebula(6523)    ,18 04.5,-24 21,4.6,15.0,15.0,NGC,,,,,
SGR,GC,NGC6528,GCL  84           ,18 04.8,-30 03,9.6,5.0,5.0,NGC,,,,,
SGR,GC,NGC6540,                  ,18 06.1,-27 46,14.6,1.5,1.5,NGC,,,,,
SGR,GC,NGC6544,STARFISH CLUSTER,18 07.3,-25 00,7.5,9.2,9.2,NGC,,,,,
SGR,GC,NGC6553,GCL  88           ,18 09.3,-25 54,8.3,9.2,9.2,NGC,,,,,
SGR,GC,NGC6558,GCL  89           ,18 10.3,-31 46,9.3,10.4,10.4,NGC,,,,,
SGR,PN,NGC6563,THE SOUTHERN RING NEBULA,18 12.0,-33 52,13,0.9,0.68,NGC,,,,,
SGR,DN,B92,on northside of M24,18 15.6,-18 14,,15.0,9.0,B,92,B 92,,,92
SGR,DN,B93,on northside of M24,18 16.9,-18 04,,8.0,3.0,B,93,B 93,,,93
SGR,OC,NGC6603,in M24,18 18.5,-18 24,11.1,4.0,4.0,NGC,,,,,
SGR,OC,NGC6613,M18 BLACK SWAN CLUSTER,18 20.0,-17 06,6.9,7.0,7.0,NGC,,,,,
SGR,N+CL,NGC6618,M17 SWAN NEB./OMEGA NEBULA/CHECKMARK NEB.,18 21.1,-16 11,6,27.0,27.0,NGC,,,,,
SGR,GC,NGC6624,GCL  93           ,18 23.7,-30 22,7.6,8.8,8.8,NGC,,,,,
SGR,GC,NGC6626,M28,18 24.5,-24 52,6.9,13.8,13.8,NGC,,,,,
SGR,PN,NGC6629,"PK9-5.1,H II 204",18 25.7,-23 12,10.5,0.27,0.23,NGC,,,,,
SGR,GC,NGC6638,GCL  95           ,18 30.9,-25 30,9.2,7.3,7.3,NGC,,,,,
SGR,GC,NGC6637,M69,18 31.4,-32 21,7.7,9.8,9.8,NGC,,,,,
SGR,OC,IC4725,M25,18 31.8,-19 07,4.6,26.0,26.0,IC,4725,IC 4725,IC 4725,,4725
SGR,GC,NGC6642,GCL  97           ,18 31.9,-23 29,8.9,5.8,5.8,NGC,,,,,
SGR,OC,NGC6645,OCL   48          ,18 32.6,-16 53,8.5,15.0,15.0,NGC,,,,,
SGR,GC,NGC6656,M22 GREAT SAGITTARIUS CLUSTER,18 36.4,-23 54,5.2,32.0,32.0,NGC,,,,,
SGR,GC,NGC6681,M70,18 43.2,-32 18,7.8,8.0,8.0,NGC,,,,,
SGR,PN,IC4776,PK2-13.1         ,18 45.8,-33 21,12.5,0.13,0.1,IC,4776,IC 4776,IC 4776,,4776
SGR,GC,NGC6715,M54,18 55.1,-30 29,7.7,12.0,12.0,NGC,,,,,
SGR,GC,NGC6717,Palomar 9             ,18 55.1,-22 42,8.4,5.4,5.4,NGC,,,,,
SGR,GC,NGC6723,Dunlop 573/CHANDELIER CLUSTER     ,18 59.6,-36 38,6.8,13.0,13.0,NGC,,,,,
SGR,GC,NGC6809,M55 SPECTER CLUSTER,19 40.0,-30 58,6.3,19.0,19.0,NGC,,,,,
SGR,PN,NGC6818,LITTLE GEM NEBULA,19 44.0,-14 09,10,0.37,0.25,NGC,,,,,
SGR,GAL,NGC6822,IC 4895/Barnard's Galaxy      ,19 44.9,-14 48,8.8,15.4,14.2,NGC,,,,,
SGR,GC,NGC6864,M75,20 06.1,-21 55,8.6,6.8,6.8,NGC,,,,,
TAU,BN,NGC1435,CED  19I     in Pleiades=MEROPE NEB./TEMPEL'S NEBULA   ,03 46.2,+23 46,?,30.0,30.0,NGC,,,,,
TAU,BN,IC349,Van den Bergh 22   in Pleiades         ,03 46.3,+23 56,?,30.0,30.0,IC,349,IC 349,IC 349,,349
TAU,PN,NGC1514,The PANSY or CRYSTAL BALL NEBULA,04 09.3,+30 47,10.8,2.0,1.5,NGC,,,,,
TAU,BN,NGC1554/1555,"Hind's Variable Nebula, STRUVE'S LOST NEBULA",04 21.9,+19 32,?,0.5,0.5,NGC,,,,,
TAU,OC,NGC1647,PIRATE MOON CLUSTER,04 45.7,+19 07,6.4,40.0,40.0,NGC,,,,,
TAU,OC,NGC1746,OCL  452          ,05 03.6,+23 49,6.1,40.0,40.0,NGC,,,,,
TAU,OC,NGC1817,POOR MAN'S DOUBLE CLUSTER,05 12.5,+16 41,7.7,20.0,20.0,NGC,,,,,
TAU,SNR,NGC1952,M1 CRAB NEBULA,05 34.5,+22 01,8.4,8.0,4.0,NGC,,,,,
TRI,GAL,NGC598,M33 TRIANGULUM GALAXY,01 33.9,+30 39,5.7,68.7,41.6,NGC,,,,,
TRI,GAL,NGC669,UGC 1248         ,01 47.3,+35 34,12.3,3.1,0.6,NGC,,,,,
TRI,GAL,NGC670,UGC 1250         ,01 47.4,+27 53,12.7,2.1,0.9,NGC,,,,,
TRI,GAL,NGC672,UGC 1256         ,01 47.9,+27 26,10.9,7.5,2.6,NGC,,,,,
TRI,GAL,NGC684,IC 165           ,01 50.2,+27 39,12.4,3.4,0.7,NGC,,,,,
TRI,GAL,NGC751,UGC 1431         ,01 57.6,+33 12,14,1.8,1.8,NGC,,,,,
TRI,GAL,NGC784,UGC 1501         ,02 01.3,+28 50,11.7,6.6,1.6,NGC,,,,,
TRI,GAL,NGC925,UGC 1913         ,02 27.3,+33 35,10.1,10.9,6.2,NGC,,,,,
TRI,GAL,NGC949,UGC 1983         ,02 30.8,+37 08,11.8,2.7,1.7,NGC,,,,,
UMA,GAL,NGC2681,UGC 4645         ,08 53.5,+51 19,10.3,3.7,3.7,NGC,,,,,
UMA,GAL,NGC2768,UGC 4821         ,09 11.6,+60 02,9.9,8.2,5.3,NGC,,,,,
UMA,GAL,NGC2841,TIGER'S EYE GALAXY,09 22.0,+50 59,9.2,7.7,3.6,NGC,,,,,
UMA,GAL,NGC3031,M81 BODE'S NEBULA,09 55.6,+69 04,6.9,24.9,11.5,NGC,,,,,
UMA,GAL,NGC3034,M82 CIGAR GALAXY,09 55.9,+69 41,8.4,10.5,5.1,NGC,,,,,
UMA,GAL,NGC3079,UGC 5387   THE PHANTOM FRISBEE      ,10 02.0,+55 41,10.9,8.1,1.3,NGC,,,,,
UMA,GAL,NGC3077,UGC 5398 THE GARLAND GAL.        ,10 03.3,+68 44,9.9,5.2,4.7,NGC,,,,,
UMA,GAL,NGC3184,LITTLE PINWHEEL GALAXY,10 18.3,+41 25,9.8,7.6,7.4,NGC,,,,,
UMA,GAL,NGC3556,M108,11 11.5,+55 40,10,8.6,2.4,NGC,,,,,
UMA,PN,NGC3587,M97 OWL NEBULA,11 14.8,+55 01,11,3.4,3.27,NGC,,,,,
UMA,GAL,NGC3631,UGC 6360         ,11 21.0,+53 10,10.4,5.0,4.8,NGC,,,,,
UMA,GAL,NGC3675,UGC 6439         ,11 26.1,+43 35,10.2,6.2,3.6,NGC,,,,,
UMA,GAL,NGC3718,UGC 6524         ,11 32.6,+53 04,10.8,8.2,3.5,NGC,,,,,
UMA,GAL,NGC3726,UGC 6537         ,11 33.3,+47 02,10.4,6.0,4.1,NGC,,,,,
UMA,GAL,NGC3877,UGC 6745         ,11 46.1,+47 30,11,5.3,1.2,NGC,,,,,
UMA,GAL,NGC3893,UGC 6778         ,11 48.6,+48 43,10.5,4.5,2.4,NGC,,,,,
UMA,GAL,NGC3896,UGC 6781         ,11 48.9,+48 40,12.9,1.5,1.0,NGC,,,,,
UMA,GAL,NGC3917,UGC 6815         ,11 50.8,+51 49,11.8,5.0,1.1,NGC,,,,,
UMA,GAL,NGC3938,UGC 6856         ,11 52.8,+44 07,10.4,5.1,5.0,NGC,,,,,
UMA,GAL,NGC3945,UGC 6860         ,11 53.2,+60 40,10.9,6.4,4.2,NGC,,,,,
UMA,GAL,NGC3953,UGC 6870         ,11 53.8,+52 19,10.1,6.9,3.6,NGC,,,,,
UMA,GAL,NGC3992,M109,11 57.6,+53 22,9.8,7.5,4.4,NGC,,,,,
UMA,GAL,NGC4605,FABERGE EGG GALAXY,12 40.0,+61 36,10.9,5.8,2.2,NGC,,,,,
UMA,GAL,NGC5457,M101 PINWHEEL GALAXY,14 03.2,+54 21,7.9,28.5,28.3,NGC,,,,,
VIR,GAL,NGC4216,SILVER STREAK GALAXY,12 15.9,+13 09,10,7.8,1.8,NGC,,,,,
VIR,GAL,NGC4303,M61 SWELLING SPIRAL,12 21.9,+04 28,9.6,6.5,5.9,NGC,,,,,
VIR,GAL,NGC4374,M84,12 25.1,+12 53,9.1,6.7,6.0,NGC,,,,,
VIR,GAL,NGC4406,M86,12 26.2,+12 57,8.9,9.8,6.3,NGC,,,,,
VIR,GAL,NGC4435,"UGC 7575/The ""Eyes"" , COPELAND'S EYES",12 27.7,+13 05,10.8,3.0,2.2,NGC,,,,,
VIR,GAL,NGC4438,"UGC 7574/The ""Eyes"" , COPELAND'S EYES""   ",12 27.8,+13 00,10.2,8.5,3.0,NGC,,,,,
VIR,GAL,NGC4472,M49,12 29.8,+08 00,8.4,9.8,8.2,NGC,,,,,
VIR,GAL,NGC4486,M87,12 30.8,+12 23,8.6,8.7,6.6,NGC,,,,,
VIR,GAL,NGC4517,4437,12 32.8,+00 07,10.4,10.2,1.7,NGC,,,,,
VIR,GAL,NGC4526,HAIRY EYEBROW GALAXY,12 34.0,+07 42,9.7,7.0,2.5,NGC,,,,,
VIR,GAL,NGC4535,UGC 7727/The Lost Galaxy of Copeland    ,12 34.3,+08 12,10,6.9,5.4,NGC,,,,,
VIR,GAL,NGC4536,UGC 7732         ,12 34.4,+02 11,10.6,7.1,3.1,NGC,,,,,
VIR,GAL,NGC4552,M89,12 35.7,+12 33,9.8,5.3,4.8,NGC,,,,,
VIR,GAL,NGC4567,UGC 7777/The Siamese Twins/FISH& CHIPS GALS.      ,12 36.5,+11 15,11.3,3.1,2.2,NGC,,,,,
VIR,GAL,NGC4568,UGC 7777/The Siamese Twins/FISH& CHIPS GALS.      ,12 36.6,+11 14,10.8,4.6,2.2,NGC,,,,,
VIR,GAL,NGC4569,M90,12 36.8,+13 10,9.5,9.9,4.4,NGC,,,,,
VIR,GAL,NGC4579,M58,12 37.7,+11 49,9.7,6.0,4.8,NGC,,,,,
VIR,GAL,NGC4594,M104 SOMBRERO GALAXY,12 40.0,-11 37,8,8.6,4.2,NGC,,,,,
VIR,GAL,NGC4621,M59,12 42.0,+11 39,9.6,5.3,4.0,NGC,,,,,
VIR,GAL,NGC4649,M60,12 43.7,+11 33,8.8,7.6,6.2,NGC,,,,,
VIR,GAL,NGC4666,UGC 7926         ,12 45.1,-00 28,10.7,4.5,1.4,NGC,,,,,
VIR,GAL,NGC4699,VINYL LP GALAXY,12 49.0,-08 40,9.5,3.8,2.8,NGC,,,,,
VIR,GAL,NGC5054,MCG - 3-34- 39    ,13 17.0,-16 38,10.9,5.1,2.8,NGC,,,,,
VIR,GAL,NGC5363,near 5364,13 56.1,+05 15,10.1,4.0,2.5,NGC,,,,,
VIR,GAL,NGC5364,near 5363,13 56.2,+05 01,11.2,6.7,5.4,NGC,,,,,
VIR,GC,NGC5634,,14 29.6,-05 59,9.5,5.5,5.5,NGC,,,,,
VIR,GAL,NGC5746,"BLADE&PEARL GALAXY, The Mini Sombrero",14 44.9,+01 57,10.3,6.9,1.2,NGC,,,,,
VIR,GAL,NGC5846,,15 06.5,+01 36,10,4.9,4.4,NGC,,,,,
VUL,OC,NGC6802,OCL  114          ,19 30.6,+20 16,8.8,5.0,5.0,NGC,,,,,
VUL,CL+N,NGC6820,LBN  135   w/6823 cluster       ,19 43.1,+23 17,15,40.0,30.0,NGC,,,,,
VUL,OC,NGC6823,OCL  124          ,19 43.2,+23 18,7.1,7.0,7.0,NGC,,,,,
VUL,OC,NGC6830,POODLE CLUSTER,19 51.0,+23 06,7.9,6.0,6.0,NGC,,,,,
VUL,PN,NGC6853,M27 DUMBBELL NEBULA,19 59.6,+22 43,7.3,8.0,5.67,NGC,,,,,
VUL,OC,NGC6885=6882=Collinder416,OCL  152/20 Vulpeculae Cluster       ,20 12.0,+26 29,8.1,20.0,20.0,NGC,,,,,
VUL,OC,NGC6940,MOTHRA CLUSTER,20 34.5,+28 17,6.3,25.0,25.0,NGC,,,,,
